,Date,Time,Generation(MW),Demand(MW),Loadshed,Gas,Liquid Fuel,Coal,Hydro,Solar,Wind,India,India,India,Nepal,Remarks
,Date,Time,Generation(MW),Demand(MW),Loadshed,Gas,Liquid Fuel,Coal,Hydro,Solar,Wind,Bheramara HVDC,Tripura,Adani,Nepal,Remarks
0,20-07-2025,09:00:00,13442,13442,0,5650,1247,4198,209,141,0,868,24,1067,38,
1,20-07-2025,08:00:00,12754,12780,25,5258,955,4330,210,92,0,869,5,997,38,
2,20-07-2025,07:00:00,13248,13265,16,5757,1016,4334,212,34,0,868,26,963,38,
3,20-07-2025,06:00:00,13546,13600,52,5609,1088,4595,212,5,0,868,26,1105,38,
4,20-07-2025,05:00:00,13913,13980,64,5681,1209,4775,212,0,0,868,28,1102,38,
5,20-07-2025,04:00:00,14148,14230,78,5619,1355,4886,212,0,0,868,28,1142,38,
6,20-07-2025,03:00:00,14546,14630,80,5538,1798,4845,212,0,4,868,28,1215,38,
7,20-07-2025,02:00:00,14950,15050,96,5675,2281,4630,211,0,0,868,30,1217,38,
8,20-07-2025,01:00:00,15441,15550,104,5716,2718,4639,211,0,0,868,32,1219,38,
9,19-07-2025,24:00:00,15972,16050,74,5794,3143,4580,210,0,0,870,34,1303,38,
10,19-07-2025,23:00:00,15937,16050,108,5823,3276,4380,210,0,0,869,34,1307,38,
11,19-07-2025,22:00:00,15951,16080,123,5865,3232,4360,210,0,0,870,32,1344,38,
12,19-07-2025,21:00:00,16006,16130,118,5794,3410,4395,210,0,0,870,32,1257,38,Evening Peak
13,19-07-2025,20:00:00,15877,16010,127,5642,3602,4227,211,0,0,870,32,1255,38,
14,19-07-2025,19:30:00,15882,15930,46,5924,3450,4079,212,0,0,870,32,1277,38,
15,19-07-2025,19:00:00,14898,14898,0,5846,2625,4036,212,0,0,871,32,1238,38,
16,19-07-2025,18:00:00,13587,13587,0,5510,1853,3878,212,34,0,870,28,1164,38,
17,19-07-2025,17:00:00,13912,13912,0,5624,1855,3954,212,175,0,871,28,1155,38,
18,19-07-2025,16:00:00,14298,14298,0,5671,1965,4019,212,332,2,870,30,1159,38,
19,19-07-2025,15:00:00,14211,14211,0,5800,1632,4054,211,417,4,870,30,1155,38,
20,19-07-2025,14:00:00,13626,13626,0,5772,1345,3804,211,483,2,871,30,1070,38,
21,19-07-2025,13:00:00,13993,13993,0,5831,1284,4221,210,480,0,870,30,1029,38,
22,19-07-2025,12:00:00,13642,13642,0,5730,1182,4013,209,569,0,870,28,1003,38,Day Peak
23,19-07-2025,11:00:00,12947,12947,0,5586,1126,3702,208,519,0,870,26,872,38,
24,19-07-2025,10:00:00,12894,12894,0,5619,1252,3667,208,359,0,870,26,855,38,
25,19-07-2025,09:00:00,12929,12929,0,5554,1156,3979,209,242,0,870,24,857,38,
26,19-07-2025,08:00:00,12756,12756,0,5529,1117,3935,210,179,0,870,24,854,38,
27,19-07-2025,07:00:00,12721,12760,37,5617,1043,3980,204,97,0,871,24,847,38,
28,19-07-2025,06:00:00,12806,12855,47,5588,1032,4124,206,24,0,870,24,900,38,
29,19-07-2025,05:00:00,13316,13365,47,6000,1039,4229,206,0,4,870,26,904,38,
30,19-07-2025,04:00:00,13500,13550,48,5986,1022,4359,206,0,0,870,26,993,38,
31,19-07-2025,03:00:00,13796,13860,61,6017,1188,4440,206,0,0,870,26,1011,38,
32,19-07-2025,02:00:00,14112,14190,74,6092,1242,4620,205,0,2,870,28,1015,38,
33,19-07-2025,01:00:00,14438,14530,88,6083,1391,4794,205,0,0,870,28,1029,38,
34,18-07-2025,24:00:00,14914,15000,82,6136,1530,5000,210,0,4,747,32,1217,38,
35,18-07-2025,23:00:00,14937,15000,60,6097,1535,5044,210,0,0,747,32,1234,38,
36,18-07-2025,22:00:00,14732,14800,65,6004,1513,4966,209,0,0,747,30,1225,38,
37,18-07-2025,21:00:00,14693,14750,54,6004,1493,4806,209,0,0,887,28,1228,38,Evening Peak
38,18-07-2025,20:00:00,14119,14170,49,5671,1395,4665,209,0,0,887,28,1226,38,
39,18-07-2025,19:30:00,14088,14088,0,5810,1354,4570,209,0,0,887,28,1192,38,
40,18-07-2025,19:00:00,12919,12919,0,5560,1016,4140,211,0,0,887,28,1039,38,
41,18-07-2025,18:00:00,11488,11488,0,5049,596,3777,211,36,0,883,26,872,38,
42,18-07-2025,17:00:00,12064,12064,0,5377,666,3867,212,128,2,884,26,864,38,
43,18-07-2025,16:00:00,12585,12585,0,5506,731,4087,217,235,7,884,26,854,38,
44,18-07-2025,15:00:00,12871,12871,0,5512,831,4173,217,274,6,883,28,909,38,
45,18-07-2025,14:00:00,12800,12800,0,5293,953,4131,214,356,6,883,28,898,38,
46,18-07-2025,13:00:00,13381,13381,0,5778,954,4063,214,553,0,884,30,867,38,
47,18-07-2025,12:00:00,12629,12629,0,5229,948,3895,213,570,0,884,28,824,38,
48,18-07-2025,11:00:00,12185,12185,0,5061,899,3850,169,423,0,896,27,822,38,
49,18-07-2025,10:00:00,11973,11973,0,4818,932,3861,169,392,0,896,24,843,38,
50,18-07-2025,09:00:00,11945,11945,0,4823,1043,3887,169,241,0,895,22,827,38,
